Entity,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Jordan,JOR,71.73,71.907,72.083,72.256,72.427,72.595,72.763,72.931,73.099,73.266,73.428,73.581,73.722,73.851,73.969,74.078,74.184,74.292,74.405,74.526
Kazakhstan,KAZ,63.467,63.79,64.157,64.525,64.876,65.211,65.543,65.906,66.325,66.81,67.378,68.047,68.805,69.628,70.483,71.319,72.081,72.728,73.236,73.597
Kenya,KEN,50.921,51.101,51.606,52.41,53.475,54.732,56.093,57.463,58.76,59.932,60.959,61.851,62.659,63.419,64.135,64.798,65.393,65.909,66.342,66.699
Kiribati,KIR,63.144,63.446,63.731,63.995,64.242,64.478,64.712,64.953,65.208,65.48,65.769,66.072,66.381,66.69,66.995,67.291,67.577,67.851,68.116,68.369
Kuwait,KWT,73.142,73.21,73.28,73.355,73.439,73.538,73.66,73.807,73.976,74.162,74.358,74.55,74.728,74.885,75.019,75.13,75.224,75.311,75.398,75.489
Kyrgyzstan,KGZ,66.338,66.503,66.657,66.792,66.912,67.046,67.236,67.51,67.879,68.336,68.849,69.376,69.868,70.289,70.626,70.876,71.054,71.193,71.321,71.45
Laos,LAO,58.803,59.372,59.937,60.502,61.065,61.625,62.182,62.731,63.271,63.797,64.306,64.797,65.267,65.717,66.144,66.546,66.924,67.277,67.61,67.923
Latin America and the Caribbean,,71.5,71.808,72.103,72.383,72.648,72.898,73.134,73.357,73.572,73.778,73.977,74.167,74.348,74.522,74.69,74.852,75.012,75.169,75.327,75.486
Latvia,LVA,69.726,70.106,70.429,70.698,70.917,71.114,71.331,71.602,71.949,72.368,72.838,73.323,73.778,74.172,74.491,74.733,74.91,75.048,75.172,75.292
Lebanon,LBN,74.507,74.999,75.488,75.969,76.432,76.865,77.26,77.609,77.911,78.161,78.36,78.507,78.611,78.683,78.732,78.768,78.8,78.833,78.875,78.93
Lesotho,LSO,47.691,46.197,44.898,43.845,43.083,42.658,42.595,42.854,43.384,44.146,45.1,46.207,47.416,48.663,49.891,51.038,52.059,52.947,53.705,54.331
Liberia,LBR,51.734,52.236,52.826,53.554,54.422,55.393,56.4,57.365,58.229,58.971,59.6,60.146,60.663,61.186,61.723,62.269,62.802,63.295,63.73,64.104
Libya,LBY,70.852,71.038,71.244,71.466,71.693,71.902,72.063,72.155,72.174,72.129,72.044,71.956,71.901,71.907,71.981,72.121,72.311,72.52,72.724,72.913
Liechtenstein,LIE,78.582,79.001,79.43,79.853,80.256,80.621,80.938,81.204,81.421,81.589,81.714,81.801,81.865,81.919,81.973,82.039,82.124,82.228,82.351,82.494
Lithuania,LTU,70.967,71.205,71.392,71.527,71.619,71.692,71.784,71.929,72.15,72.451,72.826,73.256,73.706,74.145,74.556,74.923,75.238,75.507,75.737,75.933
Luxembourg,LUX,77.652,77.91,78.161,78.406,78.645,78.888,79.145,79.421,79.718,80.032,80.352,80.664,80.955,81.215,81.442,81.636,81.803,81.955,82.102,82.25
Macao,MAC,80.407,80.645,80.87,81.089,81.304,81.523,81.748,81.981,82.22,82.462,82.704,82.938,83.158,83.361,83.543,83.707,83.854,83.989,84.118,84.244
Madagascar,MDG,58.485,59.129,59.717,60.256,60.752,61.212,61.65,62.079,62.509,62.944,63.388,63.836,64.28,64.713,65.133,65.539,65.931,66.311,66.681,67.041
Malawi,MWI,45.09,45.204,45.517,46.052,46.823,47.844,49.118,50.595,52.206,53.888,55.564,57.161,58.629,59.931,61.042,61.953,62.681,63.279,63.798,64.263
Malaysia,MYS,72.594,72.782,72.976,73.17,73.364,73.555,73.744,73.931,74.118,74.305,74.493,74.683,74.877,75.072,75.268,75.461,75.649,75.828,75.997,76.156
Maldives,MDV,70.173,70.964,71.708,72.399,73.034,73.612,74.138,74.621,75.073,75.499,75.905,76.293,76.664,77.018,77.36,77.691,78.013,78.325,78.627,78.921
Mali,MLI,48.069,48.758,49.54,50.373,51.224,52.057,52.839,53.553,54.193,54.756,55.251,55.701,56.135,56.578,57.036,57.509,57.987,58.452,58.893,59.306
Malta,MLT,79.05,79.217,79.38,79.539,79.697,79.861,80.036,80.225,80.428,80.644,80.868,81.094,81.314,81.522,81.716,81.896,82.063,82.221,82.376,82.53
Marshall Islands,MHL,68.423,68.763,69.075,69.374,69.668,69.962,70.256,70.548,70.836,71.121,71.403,71.686,71.968,72.247,72.523,72.789,73.042,73.278,73.496,73.696
Martinique,MTQ,78.197,78.502,78.792,79.065,79.321,79.562,79.791,80.013,80.23,80.447,80.664,80.883,81.103,81.322,81.539,81.753,81.962,82.164,82.359,82.545
Mauritania,MRT,60.706,60.788,60.892,61.018,61.17,61.349,61.552,61.776,62.015,62.266,62.527,62.799,63.079,63.366,63.654,63.936,64.208,64.464,64.704,64.925
Mauritius,MUS,71.2,71.51,71.806,72.062,72.272,72.446,72.606,72.777,72.977,73.208,73.46,73.718,73.96,74.173,74.352,74.5,74.626,74.743,74.863,74.991
Mayotte,MYT,75.686,76.004,76.318,76.626,76.929,77.232,77.541,77.854,78.169,78.475,78.758,78.997,79.181,79.308,79.379,79.408,79.409,79.405,79.417,79.455
Mexico,MEX,74.34,74.658,74.922,75.118,75.243,75.3,75.296,75.255,75.194,75.128,75.065,75.011,74.966,74.93,74.908,74.904,74.917,74.947,74.992,75.054
Micronesia (country),FSM,64.55,64.71,64.888,65.08,65.282,65.489,65.697,65.901,66.099,66.29,66.471,66.646,66.817,66.986,67.152,67.315,67.471,67.618,67.755,67.883
Moldova,MDA,67.006,67.185,67.362,67.521,67.665,67.82,68.022,68.302,68.671,69.119,69.616,70.119,70.581,70.968,71.267,71.478,71.617,71.717,71.808,71.901
Monaco,MCO,80.929,81.676,82.337,82.867,83.253,83.503,83.649,83.752,83.865,84.01,84.207,84.462,84.758,85.077,85.41,85.739,86.049,86.325,86.56,86.751
Mongolia,MNG,62.869,63.319,63.777,64.23,64.671,65.103,65.538,65.985,66.447,66.916,67.38,67.818,68.217,68.566,68.863,69.111,69.321,69.509,69.689,69.87
Montenegro,MNE,73.228,73.233,73.285,73.37,73.486,73.642,73.85,74.115,74.43,74.784,75.151,75.505,75.823,76.089,76.297,76.452,76.568,76.667,76.77,76.884
Montserrat,MSR,72.658,72.505,72.391,72.316,72.282,72.295,72.356,72.459,72.597,72.766,72.969,73.214,73.496,73.797,74.093,74.339,74.483,74.501,74.388,74.158
Morocco,MAR,68.684,69.193,69.769,70.399,71.067,71.746,72.403,73.009,73.546,74.003,74.382,74.696,74.97,75.227,75.477,75.726,75.974,76.218,76.453,76.68
Mozambique,MOZ,48.946,49.295,49.61,49.889,50.143,50.387,50.641,50.934,51.292,51.738,52.31,53.043,53.931,54.949,56.062,57.206,58.309,59.309,60.163,60.854
